dataset,k_label,n,mean_mse_ratio,mean_mae_ratio,cycle_loss,cycle_jaccard,b_support,a_support
Electricity,0.100,4,1.1752201209613473,1.157471324390218,0.5805981261939159,0.13716847077012057,255.44432830810547,221.38861465454102
Electricity,0.199,4,1.1653595886584067,1.1524645632945933,0.4766732490802524,0.14005005359649653,258.7593688964844,216.03964233398438
Electricity,0.299,4,1.1567297521595608,1.1462726376436219,0.4375272913521671,0.18152282387018198,258.0261535644531,198.57500076293945
Solar,0.102,4,1.0923266035777468,1.051406723776038,0.7290362318790311,0.05287729622796172,113.36367797851562,70.60721969604492
Solar,0.197,4,1.075122169885077,1.0360036323059145,0.7106859129868834,0.037289565196260775,114.88671493530273,65.69924831390381
Solar,0.299,4,1.0783665923782095,1.0372182728893533,0.7185076164601868,0.0297909423243254,115.77956199645996,62.35215187072754
Traffic,0.100,4,2.660714247514046,2.2043838786363357,1.851741480142365,0.00754429702647025,697.0648498535156,151.1271148622036
Traffic,0.200,4,2.8748369100209707,2.4098984074510827,1.6445765466368623,0.007029598287772325,717.7401733398438,87.15904182195663
Traffic,0.299,4,2.48743475620359,2.0844058429762047,1.6124975442324971,0.00987449311651285,717.7065582275391,179.03279548883438
Weather,0.095,4,1.0963575094176634,1.1020180217778885,0.7084621941259485,0.38315243273973465,17.176276206970215,16.283679008483887
Weather,0.190,4,1.0679059056232114,1.0749948441808674,0.8361931250622944,0.24621213227510447,15.930221557617188,16.113916873931885
Weather,0.286,4,1.0490505676243886,1.0612422721791863,0.8401672158057356,0.18293651938438416,16.902260780334473,15.698956727981567
