dataset,pred_len,variate_reduction_type,variate_expansion_type,variate_decode_stage,loss_variant,variate_token_split_factor,num_variates,target_variate_tokens,source_variate_tokens,reduced_variate_k,reduced_variate_tokens,target_k_ratio,actual_k_ratio,source_k_ratio,logical_k,executed_k,logical_k_ratio,executed_k_ratio,k_budget_max,k_budget_exception,lowrank_reducer_rank,decoder_residual_gate_init,backbone_residual_gate_init,backbone_residual_gate_type,backbone_residual_gate,backbone_residual_gate_abs_mean,backbone_residual_gate_max,local_temporal_rank,zero_init_projector,skip_backbone,k_selection_mode,target_k_value,variate_anchor_map_path,original_encoder_tokens,reduced_encoder_tokens,num_extra_tokens,token_ratio,token_reduction_percent,attention_score_ratio,attention_score_reduction_percent,eval_split,mse,mae,rmse,mape,mspe,orthogonal_loss_weight,reconstruction_loss_weight,coverage_loss_weight,assignment_entropy_loss_weight,linear_coverage_loss_weight,biorthogonal_loss_weight,linear_weight_l2_loss_weight,decoder_init_l2_loss_weight,mae_loss_weight,train_time_sec,train_iter_count,avg_train_iter_time_sec,elapsed_sec,peak_gpu_allocated_mb,peak_gpu_reserved_mb,gpu_memory_footprint_mb,expansion_temperature,expansion_topk,residual_gate_mean,residual_gate_abs_mean,residual_gate_max,hybrid_linear_gate,local_temporal_branch,local_temporal_init,local_temporal_gate_init,local_temporal_gate,status,timestamp,git_commit,git_dirty,error,command,returncode,gpu,cuda_visible_devices,data,root_path,data_path,target,freq,seed,itr,model,model_id,setting,seq_len,label_len,e_layers,d_model,d_ff,batch_size,learning_rate,train_epochs,patience,num_workers,use_norm,checkpoint_dir,result_dir,weight_matrix_dir
Weather,96,variate_anchor_residual_pool,masked_linear,feature,,1,21,21,21,6,6,0.3,0.2857142857142857,0.2857142857142857,6,6,0.2857142857142857,0.2857142857142857,6,False,8,0.25,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,6,./results/anchor_maps/Weather_k6_corr_medoid_top16_corrinit_p4_train.npz,26,11,5,0.4230769230769231,57.692307692307686,0.17899408284023668,82.10059171597634,val,0.48032863904369844,0.318957376452362,0.6930574572455724,12.351176141307294,15206155.759603878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.4836699962616,1146,0.24562274868783734,373.33174562454224,132.99462890625,200.0,132.99462890625,1.0,0,0.0,0.0,0.0,0.0,nlinear_affine,persistence,1.0,0.9959104657173157,success,2026-06-25 14:29:34,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl96_variate_anchor_residual_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_masked_9cde00515e,Weather_pl96_variate_anchor_residual_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_masked_9cde00515e_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,96,48,3,512,512,32,0.0001,1,1,0,True,./checkpoints/Weather_pl96_variate_anchor_residual_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_masked_9cde00515e_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,,
Weather,192,variate_anchor_residual_pool,masked_linear,feature,,1,21,21,21,6,6,0.3,0.2857142857142857,0.2857142857142857,6,6,0.2857142857142857,0.2857142857142857,6,False,8,0.25,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,6,./results/anchor_maps/Weather_k6_corr_medoid_top16_corrinit_p4_train.npz,26,11,5,0.4230769230769231,57.692307692307686,0.17899408284023668,82.10059171597634,val,0.5462600138258374,0.3599652289063172,0.7390940493779107,8.3712679306762,5371829.62951467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.82303285598755,1143,0.3261793813263233,491.38235354423523,135.166015625,204.0,135.166015625,1.0,0,0.0,0.0,0.0,0.0,nlinear_affine,persistence,1.0,0.9956786632537842,success,2026-06-25 14:37:50,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl192_variate_anchor_residual_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_maske_815070eae7,Weather_pl192_variate_anchor_residual_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_maske_815070eae7_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,96,48,3,512,512,32,0.0001,1,1,0,True,./checkpoints/Weather_pl192_variate_anchor_residual_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_maske_815070eae7_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,,
Electricity,96,variate_anchor_residual_pool,masked_linear,feature,,1,321,321,321,96,96,0.3,0.29906542056074764,0.29906542056074764,96,96,0.29906542056074764,0.29906542056074764,96,False,8,0.25,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,96,./results/anchor_maps/Electricity_k96_corr_medoid_top16_corrinit_p4_train.npz,325,100,4,0.3076923076923077,69.23076923076923,0.09467455621301776,90.53254437869822,val,0.13654652120720967,0.23374140652506709,0.3695220172157671,2.129913762260664,56387.66323342176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864.4817008972168,1138,1.6383846229325278,2397.76776266098,880.8818359375,970.0,880.8818359375,1.0,0,0.0,0.0,0.0,0.0,nlinear_affine,persistence,1.0,1.038572907447815,success,2026-06-25 15:17:52,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/electricity/,electricity.csv,OT,h,2021,0,iTransformer,Electricity_pl96_variate_anchor_residual_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_m_a9e5949b6a,Electricity_pl96_variate_anchor_residual_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_m_a9e5949b6a_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,96,48,3,512,512,16,0.0005,1,1,0,True,./checkpoints/Electricity_pl96_variate_anchor_residual_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_m_a9e5949b6a_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,,
Electricity,192,variate_anchor_residual_pool,masked_linear,feature,,1,321,321,321,96,96,0.3,0.29906542056074764,0.29906542056074764,96,96,0.29906542056074764,0.29906542056074764,96,False,8,0.25,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,96,./results/anchor_maps/Electricity_k96_corr_medoid_top16_corrinit_p4_train.npz,325,100,4,0.3076923076923077,69.23076923076923,0.09467455621301776,90.53254437869822,val,0.146205065636442,0.24207248544717413,0.38236770998142877,2.216684797593719,53086.14038514422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.0419404506683,1132,1.6369628449210851,2368.8561506271362,889.91796875,1132.0,889.91796875,1.0,0,0.0,0.0,0.0,0.0,nlinear_affine,persistence,1.0,1.0345011949539185,success,2026-06-25 15:57:25,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/electricity/,electricity.csv,OT,h,2021,0,iTransformer,Electricity_pl192_variate_anchor_residual_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_bd7a14dfe6,Electricity_pl192_variate_anchor_residual_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_bd7a14dfe6_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,96,48,3,512,512,16,0.0005,1,1,0,True,./checkpoints/Electricity_pl192_variate_anchor_residual_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_bd7a14dfe6_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,,
Traffic,192,variate_anchor_residual_pool,masked_linear,feature,,1,862,862,862,258,258,0.3,0.29930394431554525,0.29930394431554525,258,258,0.29930394431554525,0.29930394431554525,258,False,8,0.25,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,259,./results/anchor_maps/Traffic_k258_corr_medoid_top16_corrinit_p4_train.npz,866,262,4,0.302540415704388,69.7459584295612,0.0915307031345839,90.84692968654161,val,0.39607890290829856,0.2873686082893404,0.6293479982555744,3.1460281091744875,278928.2513088181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1912.076750278473,749,2.552839452975264,2412.993723154068,2580.60546875,3172.0,2580.60546875,1.0,0,0.0,0.0,0.0,0.0,nlinear_affine,persistence,1.0,1.0046011209487915,success,2026-06-25 16:37:44,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/traffic/,traffic.csv,OT,h,2021,0,iTransformer,Traffic_pl192_variate_anchor_residual_pool_ratio0.30_k258_ortho0_seed2021_localnlinear_affine-persistence_mas_503ad9406b,Traffic_pl192_variate_anchor_residual_pool_ratio0.30_k258_ortho0_seed2021_localnlinear_affine-persistence_mas_503ad9406b_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh4_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,96,48,4,512,512,16,0.001,1,1,0,True,./checkpoints/Traffic_pl192_variate_anchor_residual_pool_ratio0.30_k258_ortho0_seed2021_localnlinear_affine-persistence_mas_503ad9406b_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh4_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,,
Solar,96,variate_anchor_residual_pool,masked_linear,feature,,1,137,137,137,41,41,0.3,0.29927007299270075,0.29927007299270075,41,41,0.29927007299270075,0.29927007299270075,41,False,8,0.25,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,41,./results/anchor_maps/Solar_k41_corr_medoid_top16_corrinit_p4_train.npz,137,41,0,0.29927007299270075,70.07299270072993,0.08956257658905643,91.04374234109436,val,0.19117196150894405,0.2616594675336774,0.4372321597377577,1.780565179859058,10303.922378418001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.70061469078064,1143,0.2254598553725115,366.02813935279846,692.67919921875,874.0,692.67919921875,1.0,0,0.0,0.0,0.0,0.0,nlinear_affine,persistence,1.0,0.9862275719642639,success,2026-06-25 16:43:54,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,Solar,./dataset/Solar/,solar_AL.txt,none,t,2021,0,iTransformer,Solar_pl96_variate_anchor_residual_pool_ratio0.30_k41_ortho0_seed2021_localnlinear_affine-persistence_masked_d64b16b2f7,Solar_pl96_variate_anchor_residual_pool_ratio0.30_k41_ortho0_seed2021_localnlinear_affine-persistence_masked_d64b16b2f7_iTransformer_Solar_M_ft96_sl48_ll96_pl512_dm8_nh2_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,96,48,2,512,512,32,0.0005,1,1,0,True,./checkpoints/Solar_pl96_variate_anchor_residual_pool_ratio0.30_k41_ortho0_seed2021_localnlinear_affine-persistence_masked_d64b16b2f7_iTransformer_Solar_M_ft96_sl48_ll96_pl512_dm8_nh2_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,,
Weather,96,variate_grouped_linear_pool,masked_linear,feature,,1,21,21,21,6,6,0.3,0.2857142857142857,0.2857142857142857,6,6,0.2857142857142857,0.2857142857142857,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,6,./results/anchor_maps/Weather_k6_corr_medoid_top16_corrinit_p4_train.npz,26,11,5,0.4230769230769231,57.692307692307686,0.17899408284023668,82.10059171597634,val,0.4742058151439124,0.31765009441263414,0.6886260343204521,11.841993027765724,13661702.339641815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.66943883895874,1146,0.22222464122073188,343.59200620651245,134.244140625,198.0,134.244140625,1.0,0,0.0,0.0,0.0,0.0,nlinear_affine,persistence,1.0,0.9959620237350464,success,2026-06-25 16:49:42,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl96_variate_grouped_linear_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_masked_c7557062b0,Weather_pl96_variate_grouped_linear_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_masked_c7557062b0_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,96,48,3,512,512,32,0.0001,1,1,0,True,./checkpoints/Weather_pl96_variate_grouped_linear_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_masked_c7557062b0_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,,
Weather,192,variate_grouped_linear_pool,masked_linear,feature,,1,21,21,21,6,6,0.3,0.2857142857142857,0.2857142857142857,6,6,0.2857142857142857,0.2857142857142857,6,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,6,./results/anchor_maps/Weather_k6_corr_medoid_top16_corrinit_p4_train.npz,26,11,5,0.4230769230769231,57.692307692307686,0.17899408284023668,82.10059171597634,val,0.5444415087378912,0.35906786472906904,0.7378627980443866,7.970058913018985,4361691.878537281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.216472864151,1143,0.295902425952888,447.18329334259033,136.41552734375,204.0,136.41552734375,1.0,0,0.0,0.0,0.0,0.0,nlinear_affine,persistence,1.0,0.9957228302955627,success,2026-06-25 16:57:13,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/weather/,weather.csv,OT,t,2021,0,iTransformer,Weather_pl192_variate_grouped_linear_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_masked_b2e8c855bf,Weather_pl192_variate_grouped_linear_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_masked_b2e8c855bf_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,96,48,3,512,512,32,0.0001,1,1,0,True,./checkpoints/Weather_pl192_variate_grouped_linear_pool_ratio0.30_k6_ortho0_seed2021_localnlinear_affine-persistence_masked_b2e8c855bf_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,,
Electricity,96,variate_grouped_linear_pool,masked_linear,feature,,1,321,321,321,96,96,0.3,0.29906542056074764,0.29906542056074764,96,96,0.29906542056074764,0.29906542056074764,96,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,96,./results/anchor_maps/Electricity_k96_corr_medoid_top16_corrinit_p4_train.npz,325,100,4,0.3076923076923077,69.23076923076923,0.09467455621301776,90.53254437869822,val,0.1350767002186816,0.2323957020809289,0.36752782237360154,2.1820773518132235,68883.65127398534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.0577478408813,1138,1.4974145411607043,2195.002372741699,885.35302734375,1112.0,885.35302734375,1.0,0,0.0,0.0,0.0,0.0,nlinear_affine,persistence,1.0,1.0367591381072998,success,2026-06-25 17:33:52,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/electricity/,electricity.csv,OT,h,2021,0,iTransformer,Electricity_pl96_variate_grouped_linear_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_ma_9d142b220a,Electricity_pl96_variate_grouped_linear_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_ma_9d142b220a_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,96,48,3,512,512,16,0.0005,1,1,0,True,./checkpoints/Electricity_pl96_variate_grouped_linear_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_ma_9d142b220a_iTransformer_custom_M_ft96_sl48_ll96_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,,
Electricity,192,variate_grouped_linear_pool,masked_linear,feature,,1,321,321,321,96,96,0.3,0.29906542056074764,0.29906542056074764,96,96,0.29906542056074764,0.29906542056074764,96,False,8,0.0,1.0,scalar,1.0,1.0,1.0,4,False,False,ratio,96,./results/anchor_maps/Electricity_k96_corr_medoid_top16_corrinit_p4_train.npz,325,100,4,0.3076923076923077,69.23076923076923,0.09467455621301776,90.53254437869822,val,0.14611058105599645,0.24203011827454773,0.3822441380269898,2.244899971305587,60932.44774385194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1705.6794879436493,1132,1.5067839999502202,2179.9173028469086,896.10791015625,1124.0,896.10791015625,1.0,0,0.0,0.0,0.0,0.0,nlinear_affine,persistence,1.0,1.0315463542938232,success,2026-06-25 18:10:17,c2426e68ca13f74aaec08045c5c724d8ad328124,true,,,0,0,0,custom,./dataset/electricity/,electricity.csv,OT,h,2021,0,iTransformer,Electricity_pl192_variate_grouped_linear_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_m_b921879a90,Electricity_pl192_variate_grouped_linear_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_m_b921879a90_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,96,48,3,512,512,16,0.0005,1,1,0,True,./checkpoints/Electricity_pl192_variate_grouped_linear_pool_ratio0.30_k96_ortho0_seed2021_localnlinear_affine-persistence_m_b921879a90_iTransformer_custom_M_ft96_sl48_ll192_pl512_dm8_nh3_el1_dl512_df1_fctimeF_ebTrue_dtvr_projection_0,,
